sample	ERR110086	ERR119658	ERR190449	ERR190464	ERR190492	ERR190504	ERR190505	ERR190506	ERR197592	ERR197594	ERR197595	ERR197596	ERR197624	ERR197626	ERR197629	ERR263723	ERR263725	ERR263727	SRR10094378	SRR10094379	SRR10094383	SRR10094415	SRR10094418	SRR10094422	SRR10094424	SRR10094425	SRR10094426	SRR10094429	SRR10094430	SRR10094433	SRR10094434	SRR10094440	SRR10094529	SRR1180868	SRR1283129	SRR1819769	SRR1819771	SRR1945425	SRR1945427	SRR1945428	SRR1946597	SRR1997868	SRR2558840	SRR2558880	SRR2558884	SRR2558919	SRR2911725	SRR2911726	SRR2911739	SRR2916632	SRR2916633	SRR2916634	SRR2916657	SRR2917943	SRR3057118	SRR3112313	SRR3130307	SRR3130311	SRR3131145	SRR3131151	SRR3131159	SRR3131165	SRR3131171	SRR3131172	SRR3131173	SRR3131206	SRR3131219	SRR3131224	SRR3131226	SRR3131229	SRR3131230	SRR3131239	SRR3133100	SRR3133103	SRR3133107	SRR3137575	SRR3137581	SRR3137584	SRR3146378	SRR3151889	SRR3151891	SRR3152160	SRR3152161	SRR3152162	SRR3152492	SRR3152497	SRR3152498	SRR3152500	SRR3152502	SRR3159152	SRR3159159	SRR3159167	SRR3170230	SRR3170240	SRR3170244	SRR3170738	SRR3170739	SRR3170768	SRR3170769	SRR3170770
SRR10094415	0.0231524	0.0223484	0.0223484	0.0225651	0.0214999	0.0229306	0.020747	0.0221335	0.0230782	0.0232268	0.0230782	0.0230782	0.0220623	0.0212923	0.0225651	0.0215695	0.0233762	0.0233762	0.0217093	0.0229306	0.0229306	0	0.0215695	0.0232268	0.0232268	0.0227107	0.0230043	0.0227838	0.0186195	0.0229306	0.0229306	0.0229306	0.0229306	0.0712856	0.0213613	0.0226378	0.0228571	0.0233014	0.0225651	0.0226378	0.0210181	0.0225651	0.0198213	0.0149759	0.0224204	0.0212923	0.0210181	0.0214999	0.0210181	0.0216393	0.0210181	0.0216393	0.0225651	0.0224927	0.0218499	0.0225651	0.0214305	0.022205	0.0210864	0.0210864	0.0233762	0.0233014	0.0224927	0.0230782	0.0217795	0.0210864	0.0225651	0.0218499	0.0232268	0.0222766	0.0219205	0.0227107	0.0210864	0.0210181	0.0210864	0.0209501	0.0218499	0.0218499	0.0210864	0.0214999	0.0216393	0.0224927	0.0224927	0.0225651	0.0227107	0.0196275	0.0212234	0.0233014	0.0218499	0.0210864	0.0210864	0.0210864	0.0219913	0.0218499	0.022205	0.0232268	0.0229306	0.0230043	0.0225651	0.0230782
SRR10094418	0.0235265	0.0233762	0.0227838	0.023602	0.0221335	0.0239063	0.0216393	0.0230043	0.0239829	0.0238299	0.0239829	0.0239829	0.0227838	0.0240597	0.023602	0.0244475	0.0237537	0.0237537	0.0229306	0.0239063	0.0239063	0.0215695	0	0.0239063	0.0239063	0.0237537	0.0233014	0.0240597	0.0208822	0.0242917	0.0242917	0.0242917	0.0242917	0.0744324	0.0222766	0.0233014	0.0235265	0.0236777	0.0225651	0.0228571	0.0212923	0.0228571	0.0206797	0.0233762	0.0231524	0.0206126	0.0226378	0.0224204	0.0226378	0.0217795	0.0212923	0.0217795	0.0225651	0.0233014	0.0230043	0.0228571	0.0217795	0.0227107	0.0214999	0.0214999	0.0237537	0.0236777	0.0228571	0.0235265	0.022205	0.0214999	0.0226378	0.0248413	0.0226378	0.0225651	0.0222766	0.0230782	0.0214999	0.0213613	0.0214999	0.0217093	0.0211548	0.0232268	0.0214999	0.0223484	0.0219205	0.0227838	0.0227838	0.0228571	0.0226378	0.0199514	0.0209501	0.0236777	0.0206126	0.0214999	0.0214999	0.0214999	0.0234513	0.0232268	0.0227838	0.0226378	0.0234513	0.0230782	0.0228571	0.0234513
SRR10094422	0.0196275	0.0208145	0.0211548	0.0230782	0.0222766	0.0238299	0.022205	0.0233762	0.0239829	0.00574147	0.0239829	0.0239829	0.00439372	0.0242142	0.0230782	0.0233014	0.0230043	0.0230043	0.00221642	0.00229842	0.00229842	0.0232268	0.0239063	0	0	0.001839	0.0198862	0.00210772	0.0194352	0.00186568	0.00186568	0.00186568	0.00186568	0.0733545	0.00476862	0.00375609	0.00387578	0.0200167	0.0211548	0.0202137	0.0216393	0.0200822	0.0196919	0.0259767	0.00476862	0.0217093	0.0228571	0.0221335	0.0228571	0.0206126	0.0216393	0.0206126	0.0211548	0.00420918	0.00251903	0.0200822	0.00505504	0.00524853	0.0220623	0.0220623	0.0200822	0.0200167	0.00439372	0.0202137	0.0205456	0.0220623	0.0212234	0.0240597	0.0188675	0.00414809	0.0227838	0.0199514	0.0220623	0.0219205	0.0220623	0.0227107	0.0198213	0.0210864	0.0220623	0.0206126	0.00541137	0.0200167	0.0200167	0.0200822	0.00433199	0.0225651	0.0210181	0.0200167	0.0199514	0.0220623	0.0220623	0.0220623	0.0211548	0.0210864	0.00436283	0.0188675	0.0201478	0.00683925	0.0200822	0.0190552
SRR10094424	0.0196275	0.0208145	0.0211548	0.0230782	0.0222766	0.0238299	0.022205	0.0233762	0.0239829	0.00574147	0.0239829	0.0239829	0.00439372	0.0242142	0.0230782	0.0233014	0.0230043	0.0230043	0.00221642	0.00229842	0.00229842	0.0232268	0.0239063	0	0	0.001839	0.0198862	0.00210772	0.0194352	0.00186568	0.00186568	0.00186568	0.00186568	0.0733545	0.00476862	0.00375609	0.00387578	0.0200167	0.0211548	0.0202137	0.0216393	0.0200822	0.0196919	0.0259767	0.00476862	0.0217093	0.0228571	0.0221335	0.0228571	0.0206126	0.0216393	0.0206126	0.0211548	0.00420918	0.00251903	0.0200822	0.00505504	0.00524853	0.0220623	0.0220623	0.0200822	0.0200167	0.00439372	0.0202137	0.0205456	0.0220623	0.0212234	0.0240597	0.0188675	0.00414809	0.0227838	0.0199514	0.0220623	0.0219205	0.0220623	0.0227107	0.0198213	0.0210864	0.0220623	0.0206126	0.00541137	0.0200167	0.0200167	0.0200822	0.00433199	0.0225651	0.0210181	0.0200167	0.0199514	0.0220623	0.0220623	0.0220623	0.0211548	0.0210864	0.00436283	0.0188675	0.0201478	0.00683925	0.0200822	0.0190552
SRR10094425	0.0195632	0.0206797	0.0208145	0.0226378	0.0225651	0.0233762	0.0221335	0.0232268	0.0232268	0.00433199	0.0232268	0.0232268	0.00299754	0.0239063	0.0226378	0.0227838	0.0227838	0.0227838	0.0010072	0.0018924	0.0018924	0.0227107	0.0237537	0.001839	0.001839	0	0.0196919	0.000483446	0.0196275	0.000805673	0.000805673	0.000805673	0.000805673	0.0744324	0.00393593	0.00249129	0.00263042	0.0200822	0.0209501	0.0200822	0.0213613	0.0200167	0.0194991	0.0258115	0.00557568	0.0213613	0.0228571	0.022205	0.0228571	0.0205456	0.0213613	0.0205456	0.0209501	0.00288374	0.00108342	0.0200167	0.00396608	0.00381583	0.0203459	0.0203459	0.0201478	0.0200822	0.00302611	0.0204789	0.0203459	0.0203459	0.0210181	0.0235265	0.0187432	0.00537869	0.0227838	0.0201478	0.0203459	0.0202797	0.0203459	0.0224204	0.0200167	0.0211548	0.0203459	0.0204789	0.00445566	0.0200167	0.0200167	0.0200167	0.0055427	0.0221335	0.0208145	0.0200822	0.0201478	0.0203459	0.0203459	0.0203459	0.0213613	0.0211548	0.00560872	0.0187432	0.0203459	0.00734051	0.0200167	0.0192445
SRR10094426	0.001839	0.00628226	0.0215695	0.0234513	0.0226378	0.0237537	0.022205	0.0228571	0.0238299	0.0217795	0.0238299	0.0238299	0.0208145	0.0250805	0.0234513	0.0254028	0.0233014	0.0233014	0.0189925	0.0183741	0.0183741	0.0230043	0.0233014	0.0198862	0.0198862	0.0196919	0	0.0198862	0.0202137	0.0196919	0.0196919	0.0196919	0.0196919	0.0751681	0.0209501	0.0205456	0.0206797	0.00712406	0.0034604	0.00136596	0.00763299	0.00128842	0.0201478	0.0248413	0.0217093	0.0224927	0.0225651	0.0219205	0.0225651	0.00811798	0.00763299	0.00811798	0.00340187	0.0197565	0.0194352	0.00126265	0.0200167	0.0217093	0.0213613	0.0213613	0.00712406	0.00708822	0.0209501	0.00348975	0.00126265	0.0213613	0.0034604	0.0260597	0.00399629	0.0219205	0.00956826	0.0031121	0.0213613	0.0212923	0.0213613	0.0228571	0.00673355	0.0188053	0.0213613	0.0217093	0.0204123	0.00123693	0.00123693	0.00126265	0.0219913	0.0226378	0.0208145	0.00708822	0.0205456	0.0213613	0.0213613	0.0213613	0.0186813	0.0187432	0.0205456	0.00399629	0.00334352	0.0196275	0.00126265	0.00167981
SRR10094429	0.0197565	0.020747	0.0212234	0.0228571	0.0227107	0.0236777	0.0222766	0.0233762	0.023602	0.00473708	0.023602	0.023602	0.00334352	0.0242142	0.0228571	0.0230782	0.0229306	0.0229306	0.00105797	0.00205363	0.00205363	0.0227838	0.0240597	0.00210772	0.00210772	0.000483446	0.0198862	0	0.0197565	0.00105797	0.00105797	0.00105797	0.00105797	0.0744324	0.00405685	0.0026025	0.00274254	0.0202797	0.0210181	0.0202137	0.0214305	0.0202137	0.0196275	0.025894	0.00564181	0.0215695	0.0230782	0.0222766	0.0230782	0.0206126	0.0214305	0.0206126	0.0210181	0.00291212	0.00113443	0.0202137	0.00439372	0.00393593	0.0202797	0.0202797	0.0203459	0.0202797	0.00319852	0.0206797	0.0205456	0.0202797	0.0210864	0.0236777	0.0189299	0.00560872	0.0228571	0.0203459	0.0202797	0.0202797	0.0202797	0.0225651	0.0199514	0.0211548	0.0202797	0.0206797	0.00480022	0.0201478	0.0201478	0.0202137	0.00567497	0.0222766	0.0209501	0.0202797	0.0203459	0.0202797	0.0202797	0.0202797	0.0213613	0.0211548	0.00574147	0.0189299	0.0204789	0.00748619	0.0202137	0.0193714
SRR10094430	0.020747	0.0200822	0.0203459	0.0210181	0.0194991	0.0210864	0.0193079	0.0204123	0.0216393	0.020747	0.0216393	0.0216393	0.0191812	0.0206126	0.0210181	0.0208822	0.0217093	0.0217093	0.0188675	0.0197565	0.0197565	0.0186195	0.0208822	0.0194352	0.0194352	0.0196275	0.0202137	0.0197565	0	0.0196919	0.0196919	0.0196919	0.0196919	0.0744324	0.0189299	0.0197565	0.0199514	0.0210181	0.0200822	0.0199514	0.0196275	0.0198862	0.0175349	0.0224927	0.0191181	0.0192445	0.0201478	0.0204789	0.0201478	0.0198862	0.0196275	0.0198862	0.0200822	0.0197565	0.0191812	0.0198862	0.0186195	0.0192445	0.0191812	0.0191812	0.0210864	0.0210181	0.0193714	0.0205456	0.0194991	0.0191812	0.0201478	0.0219913	0.0204123	0.0188675	0.020747	0.0201478	0.0191812	0.0191812	0.0191812	0.0187432	0.0194991	0.0198213	0.0191812	0.0191181	0.0189299	0.0198862	0.0198862	0.0198862	0.0191181	0.0202797	0.0183741	0.0210181	0.0185579	0.0191812	0.0191812	0.0191812	0.0198213	0.0197565	0.0189925	0.0204123	0.0204123	0.0204123	0.0198862	0.0202797
SRR10094433	0.0195632	0.0210181	0.0214305	0.0230043	0.0225651	0.0238299	0.0218499	0.0228571	0.0239829	0.00467416	0.0239829	0.0239829	0.00325637	0.0240597	0.0230043	0.0230782	0.0227838	0.0227838	0.0011856	0.00218918	0.00218918	0.0229306	0.0242917	0.00186568	0.00186568	0.000805673	0.0196919	0.00105797	0.0196919	0	0	0	0	0.0744324	0.00411762	0.00265838	0.00279888	0.0202797	0.0210181	0.0200167	0.0214999	0.0199514	0.0196919	0.0259767	0.00587519	0.0214999	0.0224204	0.0217093	0.0224204	0.0205456	0.0214999	0.0205456	0.0210181	0.00265838	0.00146992	0.0199514	0.00420918	0.00408721	0.0200822	0.0200822	0.0203459	0.0202797	0.00296902	0.0200167	0.0202797	0.0200822	0.0210864	0.0233762	0.0186195	0.00577481	0.0230782	0.0196275	0.0200822	0.0200167	0.0200822	0.0225651	0.0199514	0.0211548	0.0200822	0.0206797	0.00461146	0.0199514	0.0199514	0.0199514	0.00590877	0.0221335	0.0210864	0.0202797	0.0202137	0.0200822	0.0200822	0.0200822	0.0212234	0.0211548	0.00564181	0.0186195	0.0198213	0.00748619	0.0199514	0.0189925
SRR10094434	0.0195632	0.0210181	0.0214305	0.0230043	0.0225651	0.0238299	0.0218499	0.0228571	0.0239829	0.00467416	0.0239829	0.0239829	0.00325637	0.0240597	0.0230043	0.0230782	0.0227838	0.0227838	0.0011856	0.00218918	0.00218918	0.0229306	0.0242917	0.00186568	0.00186568	0.000805673	0.0196919	0.00105797	0.0196919	0	0	0	0	0.0744324	0.00411762	0.00265838	0.00279888	0.0202797	0.0210181	0.0200167	0.0214999	0.0199514	0.0196919	0.0259767	0.00587519	0.0214999	0.0224204	0.0217093	0.0224204	0.0205456	0.0214999	0.0205456	0.0210181	0.00265838	0.00146992	0.0199514	0.00420918	0.00408721	0.0200822	0.0200822	0.0203459	0.0202797	0.00296902	0.0200167	0.0202797	0.0200822	0.0210864	0.0233762	0.0186195	0.00577481	0.0230782	0.0196275	0.0200822	0.0200167	0.0200822	0.0225651	0.0199514	0.0211548	0.0200822	0.0206797	0.00461146	0.0199514	0.0199514	0.0199514	0.00590877	0.0221335	0.0210864	0.0202797	0.0202137	0.0200822	0.0200822	0.0200822	0.0212234	0.0211548	0.00564181	0.0186195	0.0198213	0.00748619	0.0199514	0.0189925
SRR10094440	0.0195632	0.0210181	0.0214305	0.0230043	0.0225651	0.0238299	0.0218499	0.0228571	0.0239829	0.00467416	0.0239829	0.0239829	0.00325637	0.0240597	0.0230043	0.0230782	0.0227838	0.0227838	0.0011856	0.00218918	0.00218918	0.0229306	0.0242917	0.00186568	0.00186568	0.000805673	0.0196919	0.00105797	0.0196919	0	0	0	0	0.0744324	0.00411762	0.00265838	0.00279888	0.0202797	0.0210181	0.0200167	0.0214999	0.0199514	0.0196919	0.0259767	0.00587519	0.0214999	0.0224204	0.0217093	0.0224204	0.0205456	0.0214999	0.0205456	0.0210181	0.00265838	0.00146992	0.0199514	0.00420918	0.00408721	0.0200822	0.0200822	0.0203459	0.0202797	0.00296902	0.0200167	0.0202797	0.0200822	0.0210864	0.0233762	0.0186195	0.00577481	0.0230782	0.0196275	0.0200822	0.0200167	0.0200822	0.0225651	0.0199514	0.0211548	0.0200822	0.0206797	0.00461146	0.0199514	0.0199514	0.0199514	0.00590877	0.0221335	0.0210864	0.0202797	0.0202137	0.0200822	0.0200822	0.0200822	0.0212234	0.0211548	0.00564181	0.0186195	0.0198213	0.00748619	0.0199514	0.0189925
SRR10094529	0.0195632	0.0210181	0.0214305	0.0230043	0.0225651	0.0238299	0.0218499	0.0228571	0.0239829	0.00467416	0.0239829	0.0239829	0.00325637	0.0240597	0.0230043	0.0230782	0.0227838	0.0227838	0.0011856	0.00218918	0.00218918	0.0229306	0.0242917	0.00186568	0.00186568	0.000805673	0.0196919	0.00105797	0.0196919	0	0	0	0	0.0744324	0.00411762	0.00265838	0.00279888	0.0202797	0.0210181	0.0200167	0.0214999	0.0199514	0.0196919	0.0259767	0.00587519	0.0214999	0.0224204	0.0217093	0.0224204	0.0205456	0.0214999	0.0205456	0.0210181	0.00265838	0.00146992	0.0199514	0.00420918	0.00408721	0.0200822	0.0200822	0.0203459	0.0202797	0.00296902	0.0200167	0.0202797	0.0200822	0.0210864	0.0233762	0.0186195	0.00577481	0.0230782	0.0196275	0.0200822	0.0200167	0.0200822	0.0225651	0.0199514	0.0211548	0.0200822	0.0206797	0.00461146	0.0199514	0.0199514	0.0199514	0.00590877	0.0221335	0.0210864	0.0202797	0.0202137	0.0200822	0.0200822	0.0200822	0.0212234	0.0211548	0.00564181	0.0186195	0.0198213	0.00748619	0.0199514	0.0189925
SRR1180868	0.0755413	0.0751681	0.0723061	0.0730018	0.0712856	0.0782587	0.0730018	0.0747985	0.0786628	0.0770708	0.0786628	0.0786628	0.0737105	0.0733545	0.0730018	0.0740698	0.0747985	0.0747985	0.0733545	0.0737105	0.0737105	0.0712856	0.0744324	0.0733545	0.0733545	0.0744324	0.0751681	0.0744324	0.0744324	0.0744324	0.0744324	0.0744324	0.0744324	0	0.0737105	0.0762985	0.0759181	0.0751681	0.0751681	0.0747985	0.0744324	0.0744324	0.0737105	0.0782587	0.0740698	0.0696435	0.0740698	0.0726524	0.0740698	0.0751681	0.0744324	0.0751681	0.0751681	0.0733545	0.0733545	0.0744324	0.0737105	0.0755413	0.0730018	0.0730018	0.0755413	0.0751681	0.0740698	0.0759181	0.0744324	0.0730018	0.0751681	0.0740698	0.0744324	0.0740698	0.0766828	0.0759181	0.0730018	0.0730018	0.0730018	0.0759181	0.0751681	0.0723061	0.0730018	0.0755413	0.0733545	0.0744324	0.0744324	0.0744324	0.0744324	0.0726524	0.0716227	0.0751681	0.0716227	0.0730018	0.0730018	0.0730018	0.0723061	0.0723061	0.0740698	0.0744324	0.0759181	0.0759181	0.0744324	0.0751681
SRR1283129	0.0213613	0.0214999	0.0204789	0.0211548	0.0208145	0.0224204	0.0202137	0.0212923	0.0225651	0.00399629	0.0225651	0.0225651	0.00274254	0.0229306	0.0211548	0.0234513	0.020747	0.020747	0.00316966	0.00436283	0.00436283	0.0213613	0.0222766	0.00476862	0.00476862	0.00393593	0.0209501	0.00405685	0.0189299	0.00411762	0.00411762	0.00411762	0.00411762	0.0737105	0	0.00331442	0.00357808	0.0220623	0.0212234	0.0209501	0.0213613	0.020747	0.0180709	0.0251607	0.00511931	0.0189299	0.0211548	0.0205456	0.0211548	0.0217093	0.0213613	0.0217093	0.0212234	0.00420918	0.0034604	0.020747	0.00366686	0.0028554	0.0198213	0.0198213	0.0221335	0.0220623	0.00405685	0.0217795	0.0209501	0.0198213	0.0212923	0.0243695	0.0204123	0.00486359	0.0224204	0.0214305	0.0198213	0.0198213	0.0198213	0.0208145	0.0212234	0.0217795	0.0198213	0.0213613	0.00399629	0.0206797	0.0206797	0.020747	0.00515153	0.0214999	0.0199514	0.0220623	0.0197565	0.0198213	0.0198213	0.0198213	0.0219913	0.0217093	0.00505504	0.0204123	0.0215695	0.00611156	0.020747	0.0210864
SRR1819769	0.0200167	0.0212234	0.0214999	0.0218499	0.0220623	0.023602	0.0219205	0.023602	0.0232268	0.00427048	0.0232268	0.0232268	0.00288374	0.0244475	0.0218499	0.0234513	0.0227107	0.0227107	0.0023533	0.00354859	0.00354859	0.0226378	0.0233014	0.00375609	0.00375609	0.00249129	0.0205456	0.0026025	0.0197565	0.00265838	0.00265838	0.00265838	0.00265838	0.0762985	0.00331442	0	0.000215742	0.0203459	0.0210181	0.0204123	0.0213613	0.0203459	0.0191812	0.0262266	0.006248	0.0200167	0.0225651	0.0224927	0.0225651	0.0203459	0.0213613	0.0203459	0.0210181	0.00360762	0.00265838	0.0203459	0.00454897	0.00314086	0.0202137	0.0202137	0.0204123	0.0203459	0.00299754	0.0203459	0.0204123	0.0202137	0.0210864	0.0233762	0.0190552	0.00594242	0.0225651	0.0200822	0.0202137	0.0201478	0.0202137	0.0218499	0.0199514	0.0210181	0.0202137	0.0203459	0.00486359	0.0202797	0.0202797	0.0203459	0.00604372	0.022205	0.0208822	0.0203459	0.0202797	0.0202137	0.0202137	0.0202137	0.0212234	0.0210181	0.00617965	0.0190552	0.0202797	0.00621379	0.0203459	0.0193079
SRR1819771	0.0201478	0.0214305	0.0218499	0.0220623	0.0222766	0.0238299	0.0219205	0.0237537	0.0234513	0.00448671	0.0234513	0.0234513	0.00314086	0.0246043	0.0220623	0.0235265	0.0227838	0.0227838	0.00249129	0.00366686	0.00366686	0.0228571	0.0235265	0.00387578	0.00387578	0.00263042	0.0206797	0.00274254	0.0199514	0.00279888	0.00279888	0.00279888	0.00279888	0.0759181	0.00357808	0.000215742	0	0.0205456	0.0211548	0.0204789	0.0214305	0.0204789	0.0192445	0.0264788	0.0064892	0.0203459	0.0227107	0.0226378	0.0227107	0.0204789	0.0214305	0.0204789	0.0211548	0.00334352	0.00279888	0.0204789	0.00480022	0.00340187	0.0204789	0.0204789	0.0206126	0.0205456	0.00322742	0.0205456	0.0206126	0.0204789	0.0212234	0.023602	0.0193079	0.00617965	0.0228571	0.0202137	0.0204789	0.0204789	0.0204789	0.0221335	0.0201478	0.0213613	0.0204789	0.0204123	0.00508714	0.0204123	0.0204123	0.0204789	0.00628226	0.0226378	0.0210864	0.0205456	0.0204789	0.0204789	0.0204789	0.0204789	0.0215695	0.0212923	0.00641996	0.0193079	0.0204789	0.00645455	0.0204789	0.0194352
SRR1945425	0.00737682	0.00162709	0.0230043	0.0236777	0.0230043	0.0249208	0.0223484	0.0234513	0.0250805	0.0235265	0.0250805	0.0250805	0.0222766	0.0259767	0.0236777	0.0250805	0.0231524	0.0231524	0.0204123	0.0184965	0.0184965	0.0233014	0.0236777	0.0200167	0.0200167	0.0200822	0.00712406	0.0202797	0.0210181	0.0202797	0.0202797	0.0202797	0.0202797	0.0751681	0.0220623	0.0203459	0.0205456	0	0.00737682	0.00737682	0.00774383	0.00737682	0.0212234	0.0250805	0.0214999	0.0226378	0.0222766	0.0215695	0.0222766	0.00719593	0.00774383	0.00719593	0.00737682	0.0213613	0.0208145	0.00734051	0.0202137	0.0217795	0.0225651	0.0225651	4.76906e-05	2.38274e-05	0.0200167	0.00763299	0.00715996	0.0225651	0.00741321	0.0248413	0.00680395	0.0221335	0.00960897	0.00723198	0.0225651	0.0227107	0.0225651	0.0226378	0.00669844	0.0184965	0.0225651	0.0219205	0.0202137	0.00734051	0.00734051	0.00734051	0.022205	0.0232268	0.0220623	2.38274e-05	0.0210864	0.0225651	0.0225651	0.0225651	0.0185579	0.0184965	0.0210181	0.00680395	0.00748619	0.0181313	0.00734051	0.00680395
SRR1945427	0.00381583	0.00641996	0.0211548	0.0236777	0.0215695	0.0234513	0.0210181	0.0227107	0.0236777	0.022205	0.0236777	0.0236777	0.0212234	0.0248413	0.0236777	0.0253218	0.0241368	0.0241368	0.0202797	0.0198862	0.0198862	0.0225651	0.0225651	0.0211548	0.0211548	0.0209501	0.0034604	0.0210181	0.0200822	0.0210181	0.0210181	0.0210181	0.0210181	0.0751681	0.0212234	0.0210181	0.0211548	0.00737682	0	0.00305472	0.00730426	0.00305472	0.0201478	0.0246043	0.0210181	0.0219205	0.0219913	0.0226378	0.0219913	0.00770681	0.00730426	0.00770681	4.76906e-05	0.020747	0.0204789	0.00302611	0.0202137	0.0212234	0.0209501	0.0209501	0.00741321	0.00737682	0.0212923	0.00378594	0.00238081	0.0209501	4.76906e-05	0.0256472	0.00393593	0.0211548	0.00904645	0.00334352	0.0209501	0.0208145	0.0209501	0.0222766	0.00528099	0.0181313	0.0209501	0.0210181	0.0205456	0.00299754	0.00299754	0.00302611	0.0212234	0.0227107	0.0202797	0.00737682	0.0204123	0.0209501	0.0209501	0.0209501	0.0181313	0.0181917	0.020747	0.00393593	0.00366686	0.0185579	0.00302611	0.00343111
SRR1945428	0.000981871	0.00652391	0.0213613	0.0233014	0.0219913	0.0235265	0.0215695	0.0227838	0.0236777	0.0218499	0.0236777	0.0236777	0.0208822	0.0249208	0.0233014	0.0254028	0.0233762	0.0233762	0.0193714	0.0191181	0.0191181	0.0226378	0.0228571	0.0202137	0.0202137	0.0200822	0.00136596	0.0202137	0.0199514	0.0200167	0.0200167	0.0200167	0.0200167	0.0747985	0.0209501	0.0204123	0.0204789	0.00737682	0.00305472	0	0.00723198	0.000215742	0.0198862	0.0246831	0.0214305	0.022205	0.022205	0.0221335	0.022205	0.00770681	0.00723198	0.00770681	0.00299754	0.0200822	0.0196919	0.000191626	0.0204123	0.0213613	0.0209501	0.0209501	0.00737682	0.00734051	0.0205456	0.00343111	0.000880953	0.0209501	0.00302611	0.025894	0.0037263	0.0216393	0.00936594	0.00308338	0.0209501	0.0208822	0.0209501	0.0224927	0.00621379	0.0181917	0.0209501	0.0213613	0.0208145	0.000215742	0.000215742	0.000191626	0.0216393	0.0224927	0.0205456	0.00734051	0.0206797	0.0209501	0.0209501	0.0209501	0.0183741	0.0181313	0.0208145	0.0037263	0.00328537	0.0193079	0.000191626	0.000680979
SRR1946597	0.00819369	0.00673355	0.0209501	0.0226378	0.0217795	0.0231524	0.0201478	0.0214305	0.0235265	0.0224927	0.0235265	0.0235265	0.0216393	0.0232268	0.0226378	0.0237537	0.0226378	0.0226378	0.0206797	0.0209501	0.0209501	0.0210181	0.0212923	0.0216393	0.0216393	0.0213613	0.00763299	0.0214305	0.0196275	0.0214999	0.0214999	0.0214999	0.0214999	0.0744324	0.0213613	0.0213613	0.0214305	0.00774383	0.00730426	0.00723198	0	0.00741321	0.0203459	0.0240597	0.0201478	0.0217795	0.0206797	0.0208145	0.0206797	0.000483446	0	0.000483446	0.00730426	0.0216393	0.0210181	0.00737682	0.0195632	0.0214999	0.0215695	0.0215695	0.00781808	0.00778092	0.0219913	0.00834599	0.00683925	0.0215695	0.00730426	0.0239063	0.0083078	0.0215695	0.00194597	0.00796745	0.0215695	0.0217093	0.0215695	0.0215695	0.00534606	0.0181917	0.0215695	0.0205456	0.0198862	0.00734051	0.00734051	0.00737682	0.0218499	0.0219913	0.0205456	0.00778092	0.0200167	0.0215695	0.0215695	0.0215695	0.0184352	0.0181313	0.0214305	0.0083078	0.0083078	0.0183741	0.00737682	0.00781808
SRR1997868	0.00108342	0.00652391	0.0212923	0.0233014	0.0219205	0.0233014	0.0215695	0.0227838	0.0236777	0.0218499	0.0236777	0.0236777	0.0208145	0.0247621	0.0233014	0.0252411	0.0232268	0.0232268	0.0193714	0.0189299	0.0189299	0.0225651	0.0228571	0.0200822	0.0200822	0.0200167	0.00128842	0.0202137	0.0198862	0.0199514	0.0199514	0.0199514	0.0199514	0.0744324	0.020747	0.0203459	0.0204789	0.00737682	0.00305472	0.000215742	0.00741321	0	0.0198862	0.0246043	0.0213613	0.0221335	0.022205	0.0220623	0.022205	0.00789262	0.00741321	0.00789262	0.00299754	0.0200822	0.0196919	2.38274e-05	0.0204123	0.0213613	0.0208822	0.0208822	0.00741321	0.00737682	0.0205456	0.00337267	0.000705841	0.0208822	0.00305472	0.0258115	0.0037263	0.0216393	0.00928558	0.00302611	0.0208822	0.0208145	0.0208822	0.0224927	0.0064892	0.0183132	0.0208822	0.0213613	0.0208145	4.76906e-05	4.76906e-05	2.38274e-05	0.0216393	0.0224204	0.0204789	0.00737682	0.0206126	0.0208822	0.0208822	0.0208822	0.0181917	0.0183132	0.020747	0.0037263	0.00322742	0.0192445	2.38274e-05	0.000508006
SRR2558840	0.020747	0.0205456	0.0203459	0.0198213	0.0196275	0.0210181	0.0194352	0.0214999	0.0213613	0.0195632	0.0213613	0.0213613	0.0184965	0.0223484	0.0198213	0.0227107	0.0206126	0.0206126	0.0183132	0.0192445	0.0192445	0.0198213	0.0206797	0.0196919	0.0196919	0.0194991	0.0201478	0.0196275	0.0175349	0.0196919	0.0196919	0.0196919	0.0196919	0.0737105	0.0180709	0.0191812	0.0192445	0.0212234	0.0201478	0.0198862	0.0203459	0.0198862	0	0.0235265	0.0198862	0.0189925	0.0205456	0.0201478	0.0205456	0.0208822	0.0203459	0.0208822	0.0201478	0.0193079	0.0187432	0.0198862	0.0193079	0.0193714	0.0201478	0.0201478	0.0212923	0.0212234	0.0193079	0.0210181	0.0199514	0.0201478	0.0202137	0.0230043	0.0201478	0.0199514	0.0211548	0.0206797	0.0201478	0.0200167	0.0201478	0.0183132	0.0202797	0.0210181	0.0201478	0.0188053	0.0195632	0.0198862	0.0198862	0.0198862	0.0201478	0.0212923	0.0183741	0.0212234	0.0194991	0.0201478	0.0201478	0.0201478	0.0212234	0.0210181	0.0195632	0.0201478	0.0209501	0.0203459	0.0198862	0.0204123
